Wall time,Step,Value
1549736961.763762,426705,32.0
1549736969.812605,428623,59.0
1549736974.385876,429720,45.0
1549736976.0339599,430115,40.0
1549736976.911031,430327,82.0
1549736990.2697978,433475,56.0
1549737004.257353,436819,78.0
1549737007.673375,437637,52.0
1549737011.972738,438669,65.0
1549737012.1063879,438700,31.0
1549737020.479755,440605,70.0
1549737022.239414,441005,14.0
1549737023.032585,441179,60.0
1549737023.253149,441230,51.0
1549737023.7737322,441352,61.0
1549737024.156877,441440,88.0
1549737030.938211,443062,94.0
1549737040.940133,445466,95.0
1549737052.764957,448273,59.0
1549737061.910003,450472,86.0
1549737069.676994,452336,93.0
1549737071.0463748,452666,124.0
1549737077.589587,454183,78.0
1549737083.3966331,455429,57.0
1549737087.747329,456422,67.0
1549737092.934647,457435,24.0
1549737102.218899,459445,84.0
1549737103.194774,459622,32.0
1549737111.0303192,461294,78.0
1549737128.7142558,465127,78.0
1549737135.707576,466293,63.0
1549737136.2068841,466413,28.0
1549737136.5848691,466503,22.0
1549737138.645952,466965,91.0
1549737146.154164,468765,28.0
1549737149.584328,469571,74.0
1549737163.7346282,472935,50.0
1549737164.692063,473164,68.0
1549737167.783745,473884,25.0
1549737238.0916119,490845,119.0
1549737242.898939,491998,79.0
1549737244.1034849,492283,58.0
1549737244.5726259,492395,51.0
1549737247.7557561,493160,48.0
1549737257.1706398,495384,109.0
1549737260.78107,496247,65.0
1549737273.269251,499212,42.0
1549737276.324703,499947,61.0
1549737279.896853,500799,67.0
1549737286.5237172,502379,48.0
1549737296.652996,504770,79.0
1549737299.317215,505403,79.0
1549737300.188405,505611,81.0
1549737313.478636,508777,85.0
1549737314.8175051,509095,70.0
1549737317.7873878,509778,70.0
1549737342.3319612,515664,67.0
1549737347.091007,516785,51.0
1549737347.441542,516853,68.0
1549737347.8068218,516940,74.0
1549737349.596318,517365,115.0
1549737349.905073,517439,74.0
1549737359.939849,519844,31.0
1549737363.502541,520670,227.0
1549737365.461102,521145,156.0
1549737368.220531,521810,72.0
1549737470.816612,546725,82.0
1549737472.204976,547061,19.0
1549737478.720232,548635,83.0
1549737485.56689,550284,92.0
1549737489.726089,551280,102.0
1549737490.489231,551464,69.0
1549737537.324621,562844,169.0
1549737549.3280692,565759,55.0
1549737550.9164429,566140,72.0
1549737552.126303,566430,38.0
1549737559.589175,568196,15.0
1549737560.397465,568391,94.0
1549737577.43345,572471,43.0
1549737603.36197,578705,57.0
1549737624.7569711,583867,55.0
1549737679.190648,597070,19.0
1549737679.85054,597228,66.0
1549737695.141292,600937,3000.0
1549737716.777774,606175,54.0
1549737723.6405609,607823,43.0
1549737725.431034,608254,77.0
1549737726.373535,608481,58.0
1549737727.797436,608822,49.0
1549737735.939879,610761,100.0
1549737736.814325,610970,46.0
1549737743.604548,612595,22.0
1549737745.430076,613033,56.0
1549737746.963284,613396,27.0
1549737751.3251789,614434,54.0
1549737754.033196,615067,60.0
1549737754.5182898,615179,47.0
1549737764.1872032,617490,36.0
1549737766.612394,618070,52.0
1549737775.2101061,620102,54.0
1549737790.342651,623702,65.0
1549737792.1836789,624141,26.0
1549737792.8059819,624290,47.0
1549737809.132877,628168,35.0
1549737809.567856,628269,75.0
1549737809.755386,628314,45.0
1549737820.3385038,630823,33.0
1549737824.4567308,631800,53.0
1549737825.9628422,632151,36.0
1549737836.1485262,634559,32.0
1549737839.69216,635404,43.0
1549737841.467531,635820,68.0
1549737848.097924,637402,61.0
1549737858.349448,639834,58.0
1549737866.707863,641811,57.0
1549737869.564241,642478,32.0
1549737872.694315,643224,23.0
1549737888.1655302,646913,59.0
1549737893.391691,648163,41.0
1549737906.097045,651202,34.0
1549737910.40061,652227,39.0
1549737910.8350348,652331,42.0
1549737917.068029,653807,47.0
1549737922.993362,655170,32.0
1549737926.375349,655954,30.0
1549737935.581438,658134,69.0
1549737941.051734,659435,56.0
1549737941.3907342,659516,43.0
1549737942.1279528,659691,52.0
1549737945.0638988,660383,57.0
1549737953.67824,662438,14.0
1549737954.177021,662557,32.0
1549737965.110494,665154,61.0
1549737971.9344692,666768,17.0
1549737972.126077,666813,45.0
1549737975.5910752,667632,29.0
1549737976.0613272,667744,37.0
1549737983.964001,669631,36.0
1549737984.358233,669725,41.0
1549737986.676084,670283,72.0
1549738079.6828742,692838,1297.0
1549738090.483267,695445,14.0
1549738096.849437,696969,74.0
1549738099.8579898,697697,40.0
1549738110.1602402,700192,66.0
1549738116.617762,701738,36.0
1549738120.892519,702761,46.0
1549738121.714887,702956,43.0
1549738127.330373,704307,52.0
1549738128.173103,704506,63.0
1549738137.93397,706843,66.0
1549738146.8598,708982,634.0
1549738147.292492,709085,54.0
1549738154.683161,710858,71.0
1549738156.773706,711359,49.0
1549738173.195036,715288,38.0
1549738176.644733,716109,59.0
1549738179.298719,716734,41.0
1549738180.398895,716996,43.0
1549738182.68836,717542,42.0
1549738211.7669,724504,43.0
1549738217.3770912,725847,59.0
1549738218.3379111,726072,44.0
1549738252.0585191,734237,47.0
1549738258.791044,735861,55.0
1549738260.785762,736337,38.0
1549738266.091203,737614,28.0
1549738270.212054,738592,47.0
1549738320.4020019,750690,59.0
1549738320.4789581,750708,18.0
1549738321.1131709,750859,60.0
1549738342.4430752,756023,77.0
1549738342.680775,756080,57.0
1549738347.3170428,757200,68.0
1549738377.573641,764515,87.0
1549738379.548553,764988,52.0
1549738380.230047,765152,86.0
1549738387.247642,766840,158.0
1549738407.773023,771774,36.0
1549738409.9899058,772302,84.0
1549738413.983865,773270,576.0
1549738416.6967869,773926,217.0
1549738419.529971,774608,39.0
1549738420.204235,774770,55.0
1549738421.812347,775157,48.0
1549738424.125323,775703,14.0
1549738424.923286,775889,69.0
1549738428.273819,776692,103.0
1549738440.2215538,779568,46.0
1549738441.0647428,779770,50.0
1549738443.567623,780368,53.0
1549738464.629884,785407,51.0
1549738467.459263,786073,60.0
1549738468.9813309,786424,40.0
1549738471.7133088,787077,24.0
1549738472.015645,787150,73.0
1549738488.3207018,791053,102.0
1549738495.8209972,792845,45.0
1549738496.627253,793039,100.0
1549738504.222202,794861,19.0
1549738509.847977,796207,111.0
1549738515.093853,797443,51.0
1549738527.416256,800387,41.0
1549738530.6171489,801147,36.0
1549738532.464302,801589,57.0
1549738536.6793401,802592,13.0
1549738540.6738648,803545,52.0
1549738549.3710878,805610,39.0
1549738554.444968,806821,61.0
1549738561.04736,808389,59.0
1549738573.631975,811384,61.0
1549738576.5283399,812078,45.0
1549738581.085391,813166,37.0
1549738583.560033,813756,50.0
1549738583.89325,813836,80.0
1549738588.655898,814975,86.0
1549738594.143831,816286,38.0
1549738598.459332,817316,102.0
1549738607.062032,819359,39.0
1549738607.603887,819489,57.0
1549738609.021342,819825,14.0
1549738610.930662,820280,21.0
1549738611.431465,820399,63.0
1549738612.638119,820687,35.0
1549738615.019538,821254,94.0
1549738620.9232771,822659,37.0
1549738625.3453372,823713,33.0
1549738643.69804,828085,53.0
1549738654.331819,830637,24.0
1549738658.551232,831646,71.0
1549738662.021452,832478,108.0
1549738666.9127748,833656,68.0
1549738668.54299,834044,76.0
1549738674.424011,835451,19.0
1549738675.270174,835653,35.0
1549738676.47748,835942,71.0
1549738680.375165,836872,38.0
1549738683.478961,837616,48.0
1549738684.138092,837774,48.0
1549738689.264447,838991,69.0
1549738691.193457,839451,49.0
1549738693.672731,840033,70.0
1549738701.272135,841849,95.0
1549738702.42698,842126,67.0
1549738715.5842218,845256,39.0
1549738715.81098,845310,54.0
1549738734.783066,849865,1294.0
1549738776.452821,859908,57.0
1549738778.4506502,860385,46.0
1549738789.88866,863127,40.0
1549738792.239747,863689,59.0
1549738795.364769,864437,63.0
1549738798.8831842,865262,50.0
1549738809.443042,867764,59.0
1549738814.715662,869021,53.0
1549738820.53615,870405,35.0
1549738821.219017,870568,54.0
1549738824.5175822,871357,59.0
1549738827.720608,872122,91.0
1549738828.7364092,872362,44.0
1549738837.3578491,874422,43.0
1549738839.867584,875016,28.0
1549738842.605675,875672,151.0
1549738845.112658,876264,35.0
1549738846.946282,876703,38.0
1549738851.4938052,877792,54.0
1549738852.7393532,878092,98.0
1549738853.3353019,878234,101.0
1549738854.264589,878455,36.0
1549738858.015243,879352,54.0
1549738858.733313,879521,75.0
1549738859.6563468,879741,22.0
1549738861.560244,880186,110.0
1549738876.898697,883823,13.0
1549738877.065588,883863,40.0
1549738877.391621,883941,36.0
1549738881.87141,885004,26.0
1549738882.8339598,885234,33.0
1549738883.7179132,885442,47.0
1549738886.5366778,886114,47.0
1549738894.6104221,888008,14.0
1549738895.6806421,888262,23.0
1549738899.062598,889060,29.0
1549738900.801901,889472,56.0
1549738905.977615,890679,41.0
1549738906.129981,890715,36.0
1549738907.816351,891118,58.0
1549738914.345815,892667,21.0
1549738915.732169,892998,31.0
1549738916.66638,893222,43.0
1549738922.548494,894606,34.0
1549738930.7081752,896544,32.0
1549738931.212943,896663,25.0
1549738935.15281,897591,29.0
1549738938.57567,898396,55.0
1549738939.1834939,898541,40.0
1549738943.144053,899480,55.0
1549738945.1182668,899948,29.0
1549738949.374332,900931,40.0
1549738950.5320058,901199,42.0
1549738953.450809,901877,14.0
1549738953.90834,901986,49.0
1549738954.504715,902129,38.0
1549738958.407001,903050,62.0
1549738958.9079711,903170,69.0
1549738960.095715,903454,100.0
1549738962.390312,904002,55.0
1549738964.6868281,904541,30.0
1549738968.940894,905557,35.0
1549738972.07774,906305,38.0
1549738973.668761,906685,33.0
1549738975.6832,907166,49.0
1549738979.5381088,908082,45.0
1549738984.0676842,909156,46.0
1549738985.391608,909471,34.0
1549738989.214819,910380,29.0
1549738993.1033401,911302,25.0
1549739002.589254,913561,35.0
1549739004.153713,913933,59.0
1549739014.742544,916454,26.0
1549739016.4421911,916859,41.0
1549739018.025281,917236,36.0
1549739022.93406,918399,26.0
1549739026.421396,919213,58.0
1549739028.388192,919679,43.0
1549739031.6087208,920448,54.0
1549739033.5898979,920920,76.0
1549739039.653643,922361,54.0
1549739043.338353,923236,20.0
1549739051.442863,925166,35.0
1549739052.099463,925323,47.0
1549739055.886487,926215,14.0
1549739057.09724,926503,47.0
1549739062.392677,927764,47.0
1549739077.00563,931220,13.0
1549739078.771035,931642,41.0
1549739079.8679,931901,34.0
